created_at,entry_id,field2
2019-10-02 22:39:58 UTC,10,
2019-10-02 22:40:15 UTC,11,
2019-10-02 22:40:34 UTC,12,
2019-10-02 22:40:51 UTC,13,
2019-10-03 23:54:49 UTC,14,
2019-10-03 23:55:06 UTC,15,
2019-10-03 23:55:25 UTC,16,
2019-10-03 23:55:42 UTC,17,
2019-10-03 23:56:01 UTC,18,
2019-10-03 23:56:18 UTC,19,
2019-10-03 23:56:37 UTC,20,
2019-10-03 23:56:54 UTC,21,
2019-10-03 23:57:14 UTC,22,
2019-10-03 23:57:31 UTC,23,
2019-10-03 23:57:50 UTC,24,
2019-10-03 23:58:08 UTC,25,
2019-10-03 23:58:27 UTC,26,
2019-10-03 23:58:44 UTC,27,
2019-10-03 23:59:03 UTC,28,
2019-10-03 23:59:22 UTC,29,
2019-10-03 23:59:39 UTC,30,
2019-10-03 23:59:59 UTC,31,
2019-10-04 00:00:16 UTC,32,
2019-10-04 00:00:31 UTC,33,
2019-10-04 00:00:48 UTC,34,
2019-10-04 00:01:07 UTC,35,
2019-10-04 00:01:47 UTC,36,0
2019-10-04 00:02:05 UTC,37,1
2019-10-04 00:02:24 UTC,38,1
2019-10-04 00:02:40 UTC,39,1
2019-10-04 00:03:00 UTC,40,1
2019-10-04 00:03:17 UTC,41,0
2019-10-04 00:03:36 UTC,42,0
2019-10-04 00:03:53 UTC,43,1
2019-10-04 00:04:12 UTC,44,0
2019-10-04 00:04:30 UTC,45,0
2019-10-04 00:04:49 UTC,46,0
2019-10-04 00:05:06 UTC,47,1
2019-10-04 00:05:21 UTC,48,0
2019-10-04 00:05:39 UTC,49,1
2019-10-04 00:05:56 UTC,50,1
2019-10-04 00:06:13 UTC,51,1
2019-10-04 00:06:33 UTC,52,0
2019-10-04 00:06:50 UTC,53,1
2019-10-04 00:07:10 UTC,54,0
2019-10-04 00:07:27 UTC,55,1
2019-10-04 00:07:47 UTC,56,0
2019-10-04 00:08:04 UTC,57,1
2019-10-04 00:08:24 UTC,58,0
2019-10-04 00:08:39 UTC,59,0
2019-10-04 00:08:56 UTC,60,1
2019-10-04 00:09:15 UTC,61,1
2019-10-04 00:09:33 UTC,62,1
2019-10-04 00:09:52 UTC,63,0
2019-10-04 00:10:07 UTC,64,0
2019-10-04 00:10:25 UTC,65,0
2019-10-04 00:10:41 UTC,66,0
2019-10-04 00:10:58 UTC,67,1
2019-10-04 00:11:25 UTC,68,1
2019-10-04 00:11:44 UTC,69,0
2019-10-04 00:12:51 UTC,70,1
2019-10-04 00:13:09 UTC,71,0
2019-10-04 00:13:28 UTC,72,1
2019-10-04 00:13:46 UTC,73,1
2019-10-04 00:14:03 UTC,74,0
2019-10-04 00:14:22 UTC,75,0
2019-10-04 00:14:40 UTC,76,0
2019-10-04 00:14:57 UTC,77,0
2019-10-04 00:15:17 UTC,78,0
2019-10-04 00:15:36 UTC,79,1
2019-10-04 00:15:54 UTC,80,1
2019-10-04 00:16:12 UTC,81,0
2019-10-04 00:16:37 UTC,82,0
2019-10-04 00:16:54 UTC,83,1
2019-10-04 00:17:09 UTC,84,1
2019-10-04 00:17:25 UTC,85,0
2019-10-04 00:17:40 UTC,86,1
2019-10-04 00:17:57 UTC,87,1
2019-10-04 00:18:12 UTC,88,0
2019-10-04 00:18:31 UTC,89,0
2019-10-04 00:18:49 UTC,90,0
2019-10-04 00:19:07 UTC,91,0
2019-10-04 00:19:24 UTC,92,0
2019-10-04 00:19:42 UTC,93,1
2019-10-04 00:19:59 UTC,94,1
2019-10-04 00:20:36 UTC,95,1
2019-10-04 00:20:54 UTC,96,0
2019-10-04 00:21:13 UTC,97,0
2019-10-04 00:21:32 UTC,98,1
2019-10-04 00:21:50 UTC,99,0
2019-10-04 00:22:09 UTC,100,0
2019-10-04 00:22:28 UTC,101,1
2019-10-04 00:22:47 UTC,102,0
2019-10-04 00:23:05 UTC,103,1
2019-10-04 00:23:21 UTC,104,0
2019-10-04 00:23:56 UTC,105,0
2019-10-04 00:24:14 UTC,106,1
2019-10-04 00:24:32 UTC,107,0
2019-10-04 00:24:50 UTC,108,1
2019-10-04 00:25:08 UTC,109,0
